id	name	int_name	alternative_names	latitude	longitude	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	country	date
3198951	Jagoče	Jagoce	Jagoce,Jagodce,Jagodče,Jagoče	46.16812	15.23786	P	PPL	SI		57				141		230	Europe/Ljubljana	2014-04-27
3199000	Jablanica	Jablanica	Castel Iblanizza,Jablanica	45.54139	14.29361	P	PPL	SI		38				148		426	Europe/Ljubljana	2014-04-24
3199006	Jablance	Jablance	Jablance	46.53333	15.76667	P	PPL	SI		26				225		307	Europe/Ljubljana	2014-04-24
3199011	Jablana	Jablana	Jablana	46.12361	14.95222	P	PPL	SI		E7				85		768	Europe/Ljubljana	2014-04-24
3199012	Jablan	Jablan	Jablan	45.83333	15.1	P	PPL	SI		J6				148		283	Europe/Ljubljana	2014-04-24
3199015	Izvir	Izvir	Izvir	45.85	15.55	P	PPL	SI		08				16		391	Europe/Ljubljana	2014-04-24
3199016	Izola	Izola	Comuna Izola,Comune di Isola,Gmina Izola,Insulae,Isola,Izola,Izola-Isola,Obcina Izola,Obcina Izola-Isola,Občina Izola,Občina Izola-Isola,Opstina Izola,Opština Izola,ayzwla,ijolla,izola,izora,yi zuo la,Ізола,Изола,איזולה,إيزولا,ایزولا,იზოლა,イゾラ,伊佐拉,이졸라	45.51123	13.65655	A	ADM1	SI		40				15848		257	Europe/Ljubljana	2014-04-22
3199017	Izola	Izola	Isola,Isola d'Istria,Isola d’Istria,Izla,Izola,Ižla,Obcina Izola,Občina Izola,izora,Изола,イゾラ	45.53694	13.66194	P	PPLA	SI		40				11223		5	Europe/Ljubljana	2019-02-22
3199020	Izlake	Izlake	Izlake	46.15	14.95	P	PPL	SI		E7				1181		315	Europe/Ljubljana	2014-04-27
3199022	Ižica	Izica	Iscica,Izica,Iščica,Ižica	46.01667	14.51667	H	STM	SI		00				0		285	Europe/Ljubljana	2012-01-19
3199026	Ižakovci	Izakovci	Izakovci,Izsakocz,Izsakócz,Ižakovci,Murasziget	46.58889	16.22111	P	PPL	SI		02				827		186	Europe/Ljubljana	2020-06-11
3199046	Ivanovci	Ivanovci	Alsoszentbenedek,Alsószentbenedek,Ivanovci,Szentbenedek	46.73306	16.24028	P	PPL	SI		78				135		318	Europe/Ljubljana	2014-04-24
3199056	Ivanjševski Vrh	Ivanjsevski Vrh	Ivanjsevci ob Scavnici,Ivanjsevski Vrh,Ivanjševci ob Ščavnici,Ivanjševski Vrh	46.62083	15.96389	P	PPL	SI		29				170		221	Europe/Ljubljana	2014-04-25
3199057	Ivanjševci	Ivanjsevci	Alsojanosfa,Alsójánosfa,Ivanjsevci,Ivanjsovci,Ivanjševci,Ivanjšovci,Janosfa,Jánosfa	46.76333	16.30083	P	PPL	SI		78				37		249	Europe/Ljubljana	2014-04-25
3199058	Ivanjkovci	Ivanjkovci	Ivanjkovci	46.46222	16.14583	P	PPL	SI		87				251		305	Europe/Ljubljana	2014-04-24
3199059	Ivanji Grad	Ivanji Grad	Castelgiovanni,Ivanji Grad	45.81861	13.70833	P	PPL	SI		49				85		286	Europe/Ljubljana	2014-04-24
3199060	Ivanje Selo	Ivanje Selo	Ivanje Selo	45.83472	14.29833	P	PPL	SI		13				228		528	Europe/Ljubljana	2014-04-24
3199078	Ivančna Gorica	Ivancna Gorica	Hudo,Ivancna Gorica,Ivančna Gorica,Obcina Ivancna Gorica,Občina Ivančna Gorica,イヴァンチュナ・ゴリツァ	45.93833	14.80444	P	PPLA	SI		39				2205		327	Europe/Ljubljana	2022-08-17
3199081	Ivanci	Ivanci	Ivanci,Zalaivancz,Zalaivand,Zalaiváncz,Zalaivánd	46.65972	16.2575	P	PPL	SI		78				243		177	Europe/Ljubljana	2014-04-24
3199095	Iška Vas	Iska Vas	Iska Vas,Iška Vas	45.94	14.51	P	PPL	SI		37				402		325	Europe/Ljubljana	2014-04-25
3199096	Iška Loka	Iska Loka	Iska Loka,Iška Loka	45.96472	14.51583	P	PPL	SI		37				274		297	Europe/Ljubljana	2014-04-25
3199097	Iška	Iska	Iska,Iška	45.99972	14.46833	H	STM	SI		00				0		286	Europe/Ljubljana	2012-05-06
3199098	Iška	Iska	Iska,Iška	45.92389	14.50972	P	PPL	SI		37				228		341	Europe/Ljubljana	2014-04-25
3199101	Irje	Irje	Irje	46.25	15.63333	P	PPL	SI		A7				315		304	Europe/Ljubljana	2014-04-24
3199114	Imeno	Imeno	Imeno	46.13194	15.60167	P	PPL	SI		92				297		190	Europe/Ljubljana	2014-04-24
3199129	Iljaševci	Iljasevci	Iljasevci,Iljaševci	46.57444	16.13056	P	PPL	SI		I1				211		185	Europe/Ljubljana	2014-04-25
3199130	Ilirska Bistrica	Ilirska Bistrica	Bistertia Illyrica,Bisterza,Gmina Ilirska Bistrica,Ilirs'ka Bistricja,Ilirska Bistrica,Ilirska-Bistrica,Obcina Ilirska Bistrica,Občina Ilirska Bistrica,Opstina Ilirska Bistrica,Opština Ilirska Bistrica,aylyrska bytrysa,aylyrska bytrytsa,illileuseukabiseuteulicha,yi li er si ka bi si te li cha,Ілірська Бистриця,Илирска Бистрица,Илирска-Бистрица,إيليرسكا بيتريسا,ایلیرسکا بیتریتسا,イリルスカ・ビストリツァ,伊利爾斯卡比斯特里察,일리르스카비스트리차	45.5675	14.29056	A	ADM1	SI		38				13911		734	Europe/Ljubljana	2014-04-22
3199131	Ilirska Bistrica	Ilirska Bistrica	Bisterza,Ilirska Bistrica,Illyrisch Feistritz,Obcina Ilirska Bistrica,Občina Ilirska Bistrica,Villa del Nevoso,イリルスカ・ビストリツァ	45.56757	14.24571	P	PPLA	SI		38				4553		418	Europe/Ljubljana	2018-07-18
3199149	Ihova	Ihova	Ihova	46.63139	15.90944	P	PPLL	SI		F4				292		280	Europe/Ljubljana	2014-04-24
3199150	Ihan	Ihan	Ihan	46.12083	14.62	P	PPL	SI		G7				784		289	Europe/Ljubljana	2014-04-24
3199160	Iga Vas	Iga Vas	Iga Vas	45.69111	14.48472	P	PPL	SI		I7				227		586	Europe/Ljubljana	2014-04-24
3199162	Ig	Ig	Ig,Ig pri Ljubljana,Ig-Studenec,Iggdorf,Studenec-Ig	45.96028	14.52889	P	PPLA	SI		37				2262		295	Europe/Ljubljana	2014-04-27
3199164	Idrsko	Idrsko	Idresca d'Isonzo,Idresca d’Isonzo,Idrsko	46.23244	13.59193	P	PPL	SI		46				325		213	Europe/Ljubljana	2014-05-11
3199165	Idrijski Log	Idrijski Log	Idrijski Log	45.95278	14.03306	P	PPL	SI		36				72		716	Europe/Ljubljana	2014-04-24
3199166	Idrijska Bela	Idrijska Bela	Bella d' Idria,Bella d’ Idria,Idrijska Bela	45.96255	13.95177	P	PPLL	SI		36				76		514	Europe/Ljubljana	2014-04-27
3199167	Idrijca	Idrijca	Idria,Idrija,Idrijca,Ідрійца,Идријца,אידרייצה	46.14472	13.76778	H	STM	SI		00				0		159	Europe/Ljubljana	2012-01-19
3199168	Idrija pri Bači	Idrija pri Baci	Idria della Baccia,Idria di Bacia,Idrija ob Baci,Idrija ob Bači,Idrija pri Baci,Idrija pri Bači	46.14	13.77972	P	PPL	SI		D2				290		197	Europe/Ljubljana	2020-06-11
3199169	Idrija	Idrija	Idria,Idrija,Obcina Idrija,Občina Idrija,Opstina Idrija,Opština Idrija,aydryya,ideuliya,idoriya,idria,iidriia,yi de li ya,Ідрія,Идрия,Идрија,אידריה,إيدرييا,ایدرییا,იდრია,იიდრიია,イドリヤ,伊德里亞,이드리야	46	14	A	ADM1	SI		36				11871		525	Europe/Ljubljana	2014-04-22
3199171	Idrija	Idrija	Idria,Idrija	46.00278	14.03056	P	PPLA	SI		36				5955		341	Europe/Ljubljana	2014-04-27
3199192	Hum pri Ormožu	Hum pri Ormozu	Hum,Hum pri Ormozu,Hum pri Ormožu	46.41778	16.20056	P	PPL	SI		87				338		259	Europe/Ljubljana	2020-06-11
3199213	Hum	Hum		46.55	15.75	T	HLL	SI		J2				0		398	Europe/Ljubljana	2008-11-25
3199217	Hudi Vrh	Hudi Vrh	Hudi Vrh	45.75694	14.52278	P	PPL	SI		F6				62		716	Europe/Ljubljana	2014-04-24
3199218	Hudinja	Hudinja	Hudinja	46.23333	15.28333	H	STM	SI		00				0		239	Europe/Ljubljana	2012-01-19
3199219	Hudinja	Hudinja	Hudinja	46.41667	15.3	P	PPLL	SI		E2				212		960	Europe/Ljubljana	2014-04-24
3199220	Hudi Log	Hudi Log	Boscomalo,Hudi Log	45.84139	13.60917	P	PPL	SI		J5				22		211	Europe/Ljubljana	2014-04-24
3199221	Hudi Kot	Hudi Kot	Hudi Kot	46.51667	15.26667	P	PPL	SI		L2				251		1063	Europe/Ljubljana	2014-04-24
3199223	Hudeje	Hudeje		45.93441	15.0192	P	PPL	SI		D4				307		301	Europe/Ljubljana	2014-04-26
3199224	Hudajužna	Hudajuzna	Hudajuzna,Hudajužna	46.16667	13.91667	P	PPL	SI		14				101		515	Europe/Ljubljana	2014-04-25
